FCLTY_NM,RDNMADR_NM,CTPRVN_CD,SIGNGU_CD,FCLTY_LO,FCLTY_LA,AREA_NM,HMPG_URL,TEL_NO,REPRSNT_MENU_NM,MENU_PRC,BASE_DE
"삼호가든","강원 화천군 사내면 문화마을1길 14","42","42790","127.5246561","38.0683995","강원",,,"깨죽삼계탕","15000","20241231"
"낙타민박","강원 화천군 화천읍 비수구미길 944","42","42790","127.8594213","38.159596","강원",,,"산채비빔밥",,"20241231"
"솥","강원 화천군 화천읍 산수화로 91","42","42790","127.7115271","38.1129238","강원",,,"콩탕&사골손만두국","8000","20241231"
"모퉁이","강원 화천군 화천읍 상승로2길 25-13 1층 모퉁이","42","42790","127.7033461","38.1056453","강원",,,"갈비수육&들기름젓갈비빔면","33000","20241231"
"형제칼국수","강원도 강릉시 강릉대로204번길 2","42","42150","128.8930263","37.7579012","강원",,,"장칼국수","7000","20241231"
"강릉감자옹심 강릉본점","강원도 강릉시 토성로 171","42","42150","128.8948902","37.7564701","강원",,,"감자옹심이칼국수","8000","20241231"
"동명항게찜","강원도 속초시 동명동 1-12","42","42210","128.6002585","38.212505","강원",,,"대게찜",,"20241231"
"동명항생선숯불구이","강원도 속초시 동명동 513-98","42","42210","128.5862262","38.2109576","강원",,,"생선구이",,"20241231"
"사돈집","강원도 속초시 영랑동 133","42","42210","128.5968186","38.2142039","강원",,,"물곰탕",,"20241231"
"삼해횟집","강원도 속초시 영랑동 148-171","42","42210","128.5921481","38.2199884","강원",,,"회",,"20241231"
"최대섭대박김밥","강원도 속초시 중앙동 471-4","42","42210","128.5901784","38.2045407","강원",,,"명태회김밥",,"20241231"
"양반댁함흥냉면","강원도 속초시 청초호반로 302","42","42210","128.5902395","38.2017778","강원",,,"명태회함흥냉면","9000","20241231"
"전주식당","강원도 양구군 양구읍 비봉로 91-23","42","42800","127.9862795","38.1100015","강원",,,"돼지고기김치찌개","9000","20241231"
"백담황태구이","강원도 인제군 북면 용대리 592","42","42810","128.3651816","38.1886627","강원",,,"황태구이정식",,"20241231"
"자작나무집","강원도 인제군 인제읍 원대리 242-6","42","42810","128.2366805","38.0047296","강원",,,"잡어매운탕",,"20241231"
"회동집","강원도 정선군 정선읍 5일장길 37-10","42","42810","128.664643","37.3809697","강원",,,"곤드레밥","7000","20241231"
"대원당","강원도 춘천시 석사동 796-2","42","42110","127.7393362","37.8577456","강원",,,"쿠로 맘모스",,"20241231"
"샘밭막국수","강원도 춘천시 신북읍 천전리 118-23","42","42110","127.7812048","37.9295981","강원",,,"막국수",,"20241231"
