﻿"MENU_ID","HOTEL_ID","HOTEL_NM","RSTRNT_ID","RSTRNT_NM","MENU_NM","MENU_PRC","MAIN_INGREDIENT_DC","CKNG_STYLE_DC","SOURC_DC","OPTN_DC"
"357","3000005","영등포 폴라리스","1943","중앙참치","특실장스페셜","50000","참치,생선회",\N,\N,"스페셜"
"358","3000005","영등포 폴라리스","1943","중앙참치","실장스페셜","40000","생선회,참치뱃살,참치머리,참치중뱃살,참치가마살,황새치뱃살",\N,\N,"스페셜"
"359","3000005","영등포 폴라리스","1943","중앙참치","스페셜","30000","돼지고기","삶은","간장","스페셜"
"2132","24873","영등포 레드","9692","대문점","문정정식","9000",\N,\N,\N,"정식"
"2133","24873","영등포 레드","9692","대문점","물만두(중)","5000","야채,두부,고기,밀가루","만두,삶은",\N,\N
"2134","24873","영등포 레드","9692","대문점","물만두(대)","8000","야채,두부,고기,밀가루","만두,삶은",\N,\N
"2135","24873","영등포 레드","9692","대문점","찐만두","5000","야채,두부,고기,밀가루","만두,찜",\N,\N
"2136","24873","영등포 레드","9692","대문점","군만두","6000","야채,두부,고기,밀가루","구운,만두",\N,\N
"2137","24873","영등포 레드","9692","대문점","고기만두","6000","야채,두부,고기,밀가루","만두",\N,\N
"2138","24873","영등포 레드","9692","대문점","만두국","7000","야채,두부,고기,밀가루","만두국",\N,\N
"2139","24873","영등포 레드","9692","대문점","오향장육(중)","21000","돼지고기,오향","삶은","간장",\N
"2140","24873","영등포 레드","9692","대문점","오향장육(대)","24000","돼지고기,오향","삶은","간장",\N
"2141","24873","영등포 레드","9692","대문점","오향족발(중)","24000","돼지고기,오향","족발","간장",\N
"2142","24873","영등포 레드","9692","대문점","오향족발(대)","27000","돼지고기,오향","족발","간장",\N
"2143","24873","영등포 레드","9692","대문점","오향장육+족발","35000","돼지고기","족발","간장",\N
"2144","24873","영등포 레드","9692","대문점","송화단","5000","오리알",\N,\N,"숙성"
"2145","24873","영등포 레드","9692","대문점","소주","4000",\N,"소주",\N,\N
"2146","24873","영등포 레드","9692","대문점","맥주","5000","보리","맥주",\N,\N
"2147","24873","영등포 레드","9692","대문점","청하","5000",\N,"소주",\N,\N
"2148","24873","영등포 레드","9692","대문점","고량주","7000",\N,"고량주",\N,\N
"2149","24873","영등포 레드","9692","대문점","이과두주","4000",\N,"고량주",\N,\N
"2150","24873","영등포 레드","9692","대문점","칭따오맥주","6000","보리","맥주",\N,\N
"2151","24873","영등포 레드","9692","대문점","연태고량주(소)","10000",\N,"고량주",\N,\N
"2152","24873","영등포 레드","9692","대문점","연태고량주(중)","20000",\N,"고량주",\N,\N
